RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Join
JA505869,,11/9/2017 18:00,45,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,ONE-WAY,5,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/10/2017 0:10,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,1500,N,LAKE SHORE DR,1824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,11,41.90959743,-87.62631221,POINT (-87.626312214236 41.909597430399),1
JA505537,,11/9/2017 18:05,30,UNKNOWN,UNKNOWN,CLEAR,DAWN,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/9/2017 18:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8030,S,ASHLAND AVE,611,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,11,41.74759101,-87.66351249,POINT (-87.663512494393 41.747591012233),1
JA508929,,11/9/2017 18:10,30,OTHER,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/12/2017 12:42,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4646,N,MARINE DR,1914,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.96685955,-87.64913504,POINT (-87.649135042071 41.966859550699),1
JA505556,,11/9/2017 18:17,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/9/2017 18:17,FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,7450,S,SOUTH SHORE DR,334,,,,,,,4,NONINCAPACITATING INJURY,1,0,0,1,0,5,0,18,5,11,41.76108819,-87.55785577,POINT (-87.557855766437 41.761088187067),1
JA505585,,11/9/2017 18:19,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/9/2017 18:26,DISREGARDING TRAFFIC SIGNALS,FAILING TO REDUCE SPEED TO AVOID CRASH,1198,E,103RD ST,511,,,,,,,2,NONINCAPACITATING INJURY,3,0,0,3,0,1,0,18,5,11,41.70773676,-87.59428861,POINT (-87.594288613092 41.707736762758),1
JA505564,,11/9/2017 18:20,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/9/2017 18:33,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,5419,S,DAMEN AVE,932,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,5,11,41.79516,-87.67419027,POINT (-87.674190274479 41.795160002875),1
JA505580,,11/9/2017 18:25,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 18:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1998,W,BARRY AVE,1931,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,11,41.93786238,-87.67817826,POINT (-87.678178258463 41.937862382571),1
JA505611,,11/9/2017 18:25,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/9/2017 18:45,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3832,W,MONTROSE AVE,1723,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,11,41.96109989,-87.72430028,POINT (-87.724300283282 41.961099886198),1
JA505571,,11/9/2017 18:30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,11/9/2017 18:35,UNABLE TO DETERMINE,DISREGARDING TRAFFIC SIGNALS,2332,E,103RD ST,431,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,8,0,18,5,11,41.70817645,-87.5668696,POINT (-87.566869600987 41.708176446255),1
JA505635,,11/9/2017 18:30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/9/2017 19:34,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,7257,W,ADDISON ST,1631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.94510868,-87.80927225,POINT (-87.809272254319 41.945108681337),1
JA506068,,11/9/2017 18:30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",11/10/2017 8:45,UNABLE TO DETERMINE,NOT APPLICABLE,1000,W,DIVISION ST,1822,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.9036866,-87.65263224,POINT (-87.652632240245 41.903686596785),1
JA505594,,11/9/2017 18:35,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,WORN SURFACE,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/9/2017 18:36,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1429,N,AUSTIN BLVD,2531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,5,11,41.90650697,-87.77536462,POINT (-87.775364615531 41.906506973699),1
JA505693,,11/9/2017 18:35,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/9/2017 20:13,UNABLE TO DETERMINE,NOT APPLICABLE,7624,W,FOREST PRESERVE AVE,1631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,5,11,41.94879546,-87.8179232,POINT (-87.817923198361 41.948795460104),1
JA505610,,11/9/2017 18:36,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/9/2017 18:41,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,4849,W,FULLERTON AVE,2522,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,11,41.92410301,-87.74825137,POINT (-87.748251365583 41.924103004583),1
JA505621,,11/9/2017 18:41,35,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/9/2017 18:59,DISREGARDING OTHER TRAFFIC SIGNS,NOT APPLICABLE,8632,S,KEDZIE AVE,834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.73597845,-87.70218113,POINT (-87.702181129604 41.735978444663),1
JA506769,,11/9/2017 18:44,55,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,6,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/10/2017 16:00,UNABLE TO DETERMINE,NOT APPLICABLE,1600,N,LAKE SHORE DR,1814,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.91122456,-87.62648257,POINT (-87.626482572426 41.911224555611),1
JA505626,,11/9/2017 18:45,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 19:00,FOLLOWING TOO CLOSELY,NOT APPLICABLE,2006,E,95TH ST,413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.72258206,-87.57504199,POINT (-87.575041988021 41.722582056747),1
JA505619,,11/9/2017 18:48,30,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/9/2017 19:10,NOT APPLICABLE,NOT APPLICABLE,4800,W,AUGUSTA BLVD,1531,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,18,5,11,41.89878961,-87.74602339,POINT (-87.746023390048 41.898789613754),1
JA505637,,11/9/2017 18:50,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/9/2017 19:05,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5159,N,PULASKI RD,1712,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,18,5,11,41.97549936,-87.72808529,POINT (-87.728085290665 41.975499360735),1
JA506198,,11/9/2017 19:00,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/10/2017 10:00,NOT APPLICABLE,NOT APPLICABLE,6347,W,BELMONT AVE,2511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.93821726,-87.78531537,POINT (-87.785315374339 41.938217259592),1
JA505730,,11/9/2017 19:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/9/2017 20:50,FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,7535,W,FOREST PRESERVE AVE,1631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.94946769,-87.81600152,POINT (-87.816001519739 41.949467690366),1
JA505709,,11/9/2017 19:09,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,FIXED OBJECT,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 20:34,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,1536,S,WESTERN AVE,1023,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,5,11,41.86015208,-87.68600235,POINT (-87.686002352453 41.86015208334),1
JA505672,,11/9/2017 19:10,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 20:00,FOLLOWING TOO CLOSELY,NOT APPLICABLE,6399,W,BELMONT AVE,2511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.93820943,-87.78590176,POINT (-87.785901762866 41.938209431786),1
JA505671,,11/9/2017 19:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/9/2017 19:40,UNABLE TO DETERMINE,NOT APPLICABLE,11801,S,AVENUE O,433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,19,5,11,41.68085614,-87.5399566,POINT (-87.539956597346 41.680856136277),1
JA505643,,11/9/2017 19:15,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 19:16,DISTRACTION - FROM INSIDE VEHICLE,FAILING TO REDUCE SPEED TO AVOID CRASH,549,E,PERSHING RD,214,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.82377385,-87.61316938,POINT (-87.613169375133 41.823773849094),1
JA505700,,11/9/2017 19:20,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/9/2017 20:15,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,7298,S,WENTWORTH AVE,731,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,19,5,11,41.76188011,-87.62983595,POINT (-87.629835944789 41.761880110445),1
JA505751,,11/9/2017 19:20,10,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PEDESTRIAN,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/9/2017 21:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2351,W,MADISON ST,1223,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,19,5,11,41.88105867,-87.68599778,POINT (-87.685997783339 41.881058667904),1
JA505685,,11/9/2017 19:30,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DUSK,TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,OTHER,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/9/2017 19:41,NOT APPLICABLE,NOT APPLICABLE,3500,W,MARQUETTE RD,831,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.7716661,-87.71035681,POINT (-87.710356809774 41.771666096917),1
JA506463,,11/9/2017 19:30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/10/2017 12:55,IMPROPER BACKING,NOT APPLICABLE,3800,S,CALIFORNIA AVE,911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.82456623,-87.69480738,POINT (-87.69480737563 41.824566227681),1
JA505676,,11/9/2017 19:35,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 19:45,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,3632,W,IRVING PARK RD,1723,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.95384081,-87.71914053,POINT (-87.719140533085 41.953840812484),1
JA505678,,11/9/2017 19:50,35,NO CONTROLS,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/9/2017 19:50,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,5000,W,FULLERTON AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.9242835,-87.75135196,POINT (-87.751351963724 41.92428350376),1
JA505680,,11/9/2017 19:50,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 20:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3259,W,DEVON AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.99723923,-87.71167833,POINT (-87.711678330492 41.997239225816),1
JA505711,,11/9/2017 19:55,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/9/2017 20:00,FAILING TO YIELD RIGHT-OF-WAY,DISREGARDING OTHER TRAFFIC SIGNS,2,W,76TH ST,623,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,2,0,1,0,19,5,11,41.75654641,-87.6247589,POINT (-87.624758904335 41.756546404563),1
JA507847,,11/9/2017 20:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/11/2017 13:36,UNABLE TO DETERMINE,NOT APPLICABLE,6538,N,OAK PARK AVE,1611,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,5,11,42.00027607,-87.79570723,POINT (-87.795707227487 42.000276072695),1
JA505777,,11/9/2017 20:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/9/2017 20:30,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER OVERTAKING/PASSING,7600,S,CALUMET AVE,623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,11,41.75646176,-87.6168094,POINT (-87.616809399874 41.756461758249),1
JA505698,,11/9/2017 20:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/9/2017 20:27,ROAD CONSTRUCTION/MAINTENANCE,UNABLE TO DETERMINE,2300,W,DEVON AVE,2412,,,,Y,CONSTRUCTION,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,5,11,41.99788104,-87.68751095,POINT (-87.68751095185 41.997881044105),1
JA505734,,11/9/2017 20:05,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/9/2017 21:00,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,1300,S,WESTERN AVE,1023,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,5,11,41.86473994,-87.68613406,POINT (-87.686134063238 41.864739941196),1
JA505725,,11/9/2017 20:20,35,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/9/2017 20:46,FOLLOWING TOO CLOSELY,PHYSICAL CONDITION OF DRIVER,5300,W,HARRISON ST,1522,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,20,5,11,41.87302363,-87.75752318,POINT (-87.757523174925 41.873023631427),1
JA505786,,11/9/2017 20:20,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 21:55,UNABLE TO DETERMINE,UNABLE TO DETERMINE,66,W,ONTARIO ST,1832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,5,11,41.89334608,-87.63065578,POINT (-87.630655777708 41.893346078525),1
JA505729,,11/9/2017 20:30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,ONE-WAY,3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 20:52,IMPROPER LANE USAGE,NOT APPLICABLE,7601,S,STATE ST,623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,11,41.75640309,-87.62457652,POINT (-87.624576515698 41.756403092616),1
JA505808,,11/9/2017 20:30,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/9/2017 22:28,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3501,S,ARTESIAN AVE,911,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,5,11,41.83017084,-87.68614952,POINT (-87.686149524427 41.830170841151),1
JA506290,,11/9/2017 20:30,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/10/2017 10:45,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,3137,W,LAWRENCE AVE,1713,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,20,5,11,41.96835413,-87.70755151,POINT (-87.707551507308 41.968354131382),1
JA505746,,11/9/2017 20:35,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/9/2017 21:10,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,5659,S,CICERO AVE,813,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,11,41.78952105,-87.7413601,POINT (-87.741360099656 41.789521045452),1
JA505740,,11/9/2017 20:45,45,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,8,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/9/2017 20:50,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1595,N,LAKE SHORE DR,1824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,11,41.91118805,-87.62615081,POINT (-87.626150812083 41.911188052315),1
