RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JA504178,,11/08/2017 03:30:00 PM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/08/2017 05:28:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4707,W,MARQUETTE RD,833,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,4,11,41.771051577,-87.73992325,POINT (-87.739923250127 41.771051577483)
JA505439,,11/08/2017 03:31:00 PM,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/09/2017 05:00:00 PM,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,832,E,57TH ST,235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,4,11,41.791462156,-87.604880504,POINT (-87.604880503816 41.791462155804)
JA504044,,11/08/2017 03:39:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2017 03:50:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,597,S,ASHLAND AVE,1231,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,4,11,41.8742514,-87.666453359,POINT (-87.666453358949 41.87425139966)
JA504071,,11/08/2017 03:40:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,OTHER,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2017 04:35:00 PM,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,6658,S,CENTRAL PARK AVE,833,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,4,11,41.771563244,-87.713132073,POINT (-87.713132072802 41.771563244046)
JA504011,,11/08/2017 03:40:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/08/2017 03:55:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,499,W,CHICAGO AVE,1831,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,15,4,11,41.896383759,-87.641491697,POINT (-87.641491696701 41.896383758547)
JA504055,,11/08/2017 03:45:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2017 04:04:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,2301,W,IRVING PARK RD,1921,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,4,11,41.953938084,-87.686099289,POINT (-87.686099288874 41.953938084395)
JA504100,,11/08/2017 03:45:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",11/08/2017 04:45:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,2916,W,CHICAGO AVE,1211,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,15,4,11,41.895738849,-87.699875449,POINT (-87.699875448703 41.895738849373)
JA504056,,11/08/2017 03:45:00 PM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2017 03:48:00 PM,UNABLE TO DETERMINE,ANIMAL,2932,W,DEVON AVE,2412,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,15,4,11,41.997606041,-87.703358002,POINT (-87.703358001624 41.997606041215)
JA504017,,11/08/2017 03:50:00 PM,30,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/08/2017 03:55:00 PM,PHYSICAL CONDITION OF DRIVER,UNABLE TO DETERMINE,1200,N,LECLAIRE AVE,2533,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,15,4,11,41.902317972,-87.75347273,POINT (-87.753472730321 41.902317972057)
JA506034,,11/08/2017 04:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/10/2017 08:20:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5249,N,LINCOLN AVE,2011,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,16,4,11,41.977359376,-87.692349562,POINT (-87.692349561665 41.977359376255)
JA504074,,11/08/2017 04:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/08/2017 04:09:00 PM,DISREGARDING TRAFFIC SIGNALS,FAILING TO YIELD RIGHT-OF-WAY,33,W,95TH ST,511,,,,Y,CONSTRUCTION,,2,NONINCAPACITATING INJURY,3,0,0,3,0,0,0,16,4,11,41.721577057,-87.62514039,POINT (-87.625140390312 41.721577056676)
JA504193,Y,11/08/2017 04:00:00 PM,35,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2017 05:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2458,W,87TH ST,835,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.735593011,-87.685059096,POINT (-87.685059096191 41.73559301073)
JA504063,,11/08/2017 04:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2017 04:30:00 PM,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,6741,N,RIDGE BLVD,2432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,42.004546016,-87.679716229,POINT (-87.679716228694 42.004546016489)
JA504136,Y,11/08/2017 04:00:00 PM,25,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/08/2017 04:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2836,W,BELDEN AVE,1414,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,16,4,11,41.923393228,-87.698804889,POINT (-87.698804889475 41.923393228169)
JA504067,,11/08/2017 04:01:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2017 04:39:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,2001,N,KEDVALE AVE,2525,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,4,11,41.917216938,-87.73008266,POINT (-87.730082659839 41.917216938186)
JA506125,,11/08/2017 04:02:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/10/2017 09:26:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2801,N,CENTRAL AVE,2514,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,16,4,11,41.931371315,-87.766102634,POINT (-87.766102633534 41.931371314905)
JA504124,,11/08/2017 04:10:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,SIDESWIPE SAME DIRECTION,CENTER TURN LANE,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,11/08/2017 04:51:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,3998,N,CLARK ST,1923,,,,N,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.954232586,-87.662306283,POINT (-87.662306283222 41.954232586042)
JA504107,,11/08/2017 04:15:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2017 04:57:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,BICYCLE ADVANCING LEGALLY ON RED LIGHT,4252,W,WASHINGTON BLVD,1114,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.88207141,-87.732717227,POINT (-87.732717226625 41.882071409954)
JA504065,,11/08/2017 04:16:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/08/2017 04:16:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,4726,W,47TH ST,815,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,9,0,16,4,11,41.807748614,-87.741873561,POINT (-87.741873561246 41.807748613642)
JA506796,,11/08/2017 04:25:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/10/2017 04:00:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,1817,S,LOOMIS ST,1233,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.857275814,-87.661154008,POINT (-87.661154007818 41.857275814148)
JA504081,,11/08/2017 04:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/08/2017 04:36:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,720,S,PULASKI RD,1132,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,16,4,11,41.8718782,-87.725529042,POINT (-87.725529042415 41.871878200071)
JA504077,,11/08/2017 04:30:00 PM,30,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DUSK,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2017 05:45:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4233,W,ADDISON ST,1731,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,4,0,16,4,11,41.94618514,-87.733589319,POINT (-87.733589319335 41.946185139659)
JA504285,,11/08/2017 04:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2017 06:40:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,676,N,ST CLAIR ST,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.894852961,-87.6229018,POINT (-87.622901800428 41.89485296136)
JA504121,,11/08/2017 04:39:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2017 05:00:00 PM,IMPROPER LANE USAGE,UNABLE TO DETERMINE,1800,S,PULASKI RD,1012,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.856941455,-87.725054914,POINT (-87.725054914159 41.856941455397)
JA504120,,11/08/2017 04:40:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2017 05:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3400,N,AUSTIN AVE,1633,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,16,4,11,41.942154386,-87.776505753,POINT (-87.776505753197 41.942154386263)
JA504159,,11/08/2017 04:45:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",11/08/2017 04:55:00 PM,FOLLOWING TOO CLOSELY,EXCEEDING AUTHORIZED SPEED LIMIT,2959,N,ASHLAND AVE,1932,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.936006546,-87.668381758,POINT (-87.668381758207 41.93600654632)
JA504126,,11/08/2017 04:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2017 05:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3357,W,PETERSON AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.990214676,-87.713836077,POINT (-87.713836077318 41.990214675792)
JA504187,,11/08/2017 04:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/08/2017 04:56:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5874,N,RIDGE AVE,2013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.988502437,-87.668264537,POINT (-87.66826453671 41.988502437266)
JA506443,,11/08/2017 04:50:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,WORN SURFACE,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/10/2017 12:40:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,4416,N,KEDZIE AVE,1724,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,11,41.961686402,-87.708409529,POINT (-87.708409528557 41.961686402151)
JA504196,,11/08/2017 04:50:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/08/2017 05:00:00 PM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",6553,S,ALBANY AVE,831,,Y,N,,,,3,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,16,4,11,41.773793925,-87.700421993,POINT (-87.700421993391 41.773793925385)
JA504214,,11/08/2017 04:50:00 PM,30,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2017 05:50:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3199,N,CENTRAL PARK AVE,1412,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,4,11,41.939128703,-87.717248202,POINT (-87.717248202469 41.939128703361)
JA504794,,11/08/2017 05:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/09/2017 08:30:00 AM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,525,W,MONROE ST,121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,11,41.880463147,-87.640803884,POINT (-87.640803884278 41.880463147078)
JA504277,,11/08/2017 05:00:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",11/08/2017 06:30:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4710,W,JACKSON BLVD,1113,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,17,4,11,41.876979104,-87.743202539,POINT (-87.743202538803 41.87697910449)
JA506799,,11/08/2017 05:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PARKED MOTOR VEHICLE,ONE-WAY,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/08/2017 05:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3144,W,WARREN BLVD,1222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,4,11,41.882008717,-87.705492787,POINT (-87.705492787363 41.88200871713)
JA504217,,11/08/2017 05:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,OTHER,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/08/2017 05:05:00 PM,IMPROPER LANE USAGE,IMPROPER OVERTAKING/PASSING,2524,S,CENTRAL PARK AVE,1013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,11,41.84544296,-87.714963519,POINT (-87.714963518882 41.84544295986)
JA504204,,11/08/2017 05:05:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/08/2017 05:55:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2262,N,CLARK ST,1812,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,4,11,41.923590931,-87.639419518,POINT (-87.639419518313 41.923590930572)
JA504165,,11/08/2017 05:09:00 PM,25,YIELD,FUNCTIONING PROPERLY,CLEAR,DAWN,TURNING,DIVIDED - W/MEDIAN BARRIER,6,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/08/2017 05:11:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,IMPROPER TURNING/NO SIGNAL,331,N,KENTON AVE,1113,,Y,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,17,4,11,41.886250119,-87.740134309,POINT (-87.740134309242 41.886250119469)
JA505377,,11/08/2017 05:10:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT ON GRADE,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/09/2017 04:32:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,2660,N,HALSTED ST,1935,Y,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,4,11,41.930751911,-87.649092334,POINT (-87.649092333546 41.93075191145)
JA504192,,11/08/2017 05:10:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2017 05:31:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,4254,S,WENTWORTH AVE,925,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,11,41.816620382,-87.631340648,POINT (-87.631340647654 41.816620381658)
JA504880,,11/08/2017 05:15:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/09/2017 10:22:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3600,W,OGDEN AVE,1014,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,17,4,11,41.854645702,-87.715206252,POINT (-87.715206251845 41.854645701934)
JA504240,,11/08/2017 05:15:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2017 07:20:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3916,N,HARLEM AVE,1631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,11,41.951270352,-87.807360414,POINT (-87.807360414372 41.951270351533)
JA504167,,11/08/2017 05:15:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2017 05:40:00 PM,IMPROPER OVERTAKING/PASSING,FAILING TO YIELD RIGHT-OF-WAY,5050,W,ADDISON ST,1634,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,17,4,11,41.946147241,-87.753880795,POINT (-87.753880795368 41.946147241324)
JA504208,,11/08/2017 05:20:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2017 05:54:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5312,W,ARGYLE ST,1623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,11,41.971651944,-87.760731455,POINT (-87.760731455009 41.971651944482)
